veliplanchiste,"{véliplanchiste} n. m. et f.\nPersonne qui fait de la planche à voile."												
verglas,"n. m.\nMince couche de glace causée par la congélation d'une pluie très fine au contact du sol. \nNote.- Attention à l'orthographe : verglas."												
vergogne,"n. f.\n (Vx) Honte.\n Sans vergogne. Effrontément, sans scrupule. II ment sans vergogne.\nNote.- Le nom ne s'emploie plus que dans l'expression citée."												
vergue,"n. f.\nPièce de bois attachée transversalement à un mât de navire pour soutenir et orienter la voile. \nNote.- Attention à l'orthographe : vergue."												
veridique,"{véridique} adj.\nSe dit d'un texte, d'une affirmation, etc. conforme à la vérité. Un témoignage véridique. \nNote.- Le nom correspondant à cet adjectif est véracité."												
veridiquement,"{véridiquement} adv.\nD'une manière véridique."												
verifiable,"{vérifiable} adj.\nQui peut être vérifié. Ces données sont vérifiables."												
verificateur,"{vérificateur} n. m. \nvérificatrice n. f.\nPersonne chargée de vérifier, de contrôler."												
verification,"{vérification} n. f.\nAction de vérifier. La vérification des passeports."												
verifier,"{vérifier} v. tr., pronom.\n Redoublement du i à la première et à la deuxième personne du pluriel de l'indicatif imparfait et du subjonctif présent. (Que) nous vérifiions, (que) vous vérifiiez.\n Transitif \n- Examiner l'exactitude, l'authenticité, la conformité d'une chose. On vérifie les registres comptables de cette entreprise.\n- Prouver, confirmer. Les résultats ont vérifié les prévisions.\n Pronominal Se révéler juste. Nos hypothèses se sont vérifiées."												
verin,"{vérin} n. m.\nAppareil de levage. \nNote.- Attention à l'orthographe : vérin."												
veritable,"{véritable} adj.\n Réel, conforme à la vérité. Ce cartable est en cuir véritable.\n Achevé. C'est un véritable génie, un véritable escroc.\nNote.- L'adjectif qui renforce une désignation souvent métaphorique se place avant le nom."												
veritablement,"{véritablement} adv.\nRéellement, vraiment. L'a-t-on véritablement connu?"												
verité,"{vérité} n. f.\n Qualité de ce qui est conforme à la réalité, de ce qui est vrai. La recherche de la vérité.\n À la vérité, locution adverbiale. II est vrai que, j'en conviens. Cette locution a une valeur concessive, elle introduit une mise au point.\n En vérité, locution adverbiale. Assurément."												
vermeil,", eille  adj. et n. m.\n Adjectif de couleur variable (Litt.) D'un rouge vif. Des joues vermeilles. \n Nom masculin \n- Couleur rouge vif. Des vermeils éclatants.\n- Argent doré. Un service à thé en vermeil.\nNote.- Attention à l'orthographe : vermeil, vermeille."												
vermicelle,"n. m.\nPâte alimentaire façonnée en fil mince. Un potage avec du vermicelle, des vermicelles. \nNote.- Attention au genre masculin de ce nom : du vermicelle."												
vermifuge,"adj. et n. m.\nSe dit d'un médicament qui provoque l'expulsion des vers parasitaires."												
vermillon,"adj. inv. et n. m.\n Adjectif de couleur invariable. Rouge vif. Des soieries vermillon. \n Nom masculin. Couleur rouge vif. Des vermillons voyants."												
vermine,"n. f.\nCollectif désignant des insectes nuisibles. L'extermination de la vermine."												
vermoulu,", ue  adj.\nPiqué de vers. Une vieille cabane vermoulue."												
vermouth,"ou vermout n. m.\nApéritif. Ils ont pris des vermouths frappés. \nNotes.- \n1  Attention à l'orthographe : vermouth. La graphie vermout est vieillie.\n2  Le nom s'écrit avec une minuscule."												
vernaculaire,"adj.\nQui est propre à un pays, à une ethnie (par opposition à véhiculaire). Une langue vernaculaire."												
verni,", ie  adj.\nRecouvert de vernis. Une table vernie. \nNote.- Attention à l'orthographe : verni."												
vernir,"v. tr.\nRecouvrir de vernis. Vernir un parquet."												
vernis,"n. m.\n Enduit que l'on applique sur une surface pour la protéger, la rendre lisse, brillante. Elle porte du vernis à ongles rouge.\n Apparence. Gratter un peu le vernis, vous risquez d'être déçu.\nNote.- Attention à l'orthographe : vernis."												
vernissage,"n. m.\nInauguration d'une exposition de peinture. Le vernissage aura lieu à la galerie à 19 heures. \nNote.- Pour une oeuvre, une publication, un produit, on emploiera le nom lancement."												
vernisser,"v. tr.\nVernir la poterie."												
verrat,"n. m.\nPorc mâle qui sert à la reproduction. \nNote.- Attention à l'orthographe : verrat."												
verre,"n. m.\n Substance transparente. Du verre translucide.\n Récipient pour boire. Des verres de cristal, un verre à eau, des verres à vin.\nNote.- Par métonymie, le nom désigne le contenant ou le contenu. Boire un verre d'eau.\n Objet de verre. Des lunettes à verres fumés.\n Verres de contact. Lentilles cornéennes. \nHom.: \n- vair, fourrure d'écureuil	\n- ver, animal invertébré	\n- vers, assemblage de mots dans un poème	\n- vert, couleur verte."									
verrerie,"n. f.\n Entreprise où l'on travaille le verre.\n Objets de verre."												
verrière,"n. f.\nSurface vitrée. Le plafond s'ouvrait sur une grande verrière."												
verroterie,"n. f.\nPetits objets de verre, pacotille. \nNote.- Attention à l'orthographe : verroterie."												
verrou,"n. m.\n Tige de fer qui coulisse afin de fermer une porte. Des verrous de sécurité.\n Mettre quelqu'un sous les verrous. Le mettre en prison. \nNote.- Attention à l'orthographe : un verrou, des verrous."												
verrouillage,"n. m.\nLe fait de verrouiller. \nNote.- Attention à l'orthographe : verrouillage."												
verrouiller,"v. tr., pronom.\n Les lettres ill sont suivies d'un i à la première et à la deuxième personne du pluriel de l'indicatif imparfait et du subjonctif présent. (Que) nous verrouillions, (que) vous verrouilliez.\n Transitif. Fermer à l'aide d'un verrou. Avez-vous verrouillé la porte?\n Pronominal. S'enfermer."												
verrue,"n. f.\nExcroissance cutanée. \nNote.- Attention à l'orthographe : verrue."												
vers,"prép.\n En direction de. Ils roulent vers la Provence.\n À peu près (à tel moment). Nous nous retrouverons vers midi."												
vers,"n. m.\nAssemblage de mots dans un poème. Des vers libres, des vers de douze syllabes ou des alexandrins. \nHom.: \n- vair, fourrure d'écureuil	\n- verre, substance transparente	\n- verre, récipient pour boire	\n- vers, animal invertébré	\n- vert, couleur verte."								
versant,"n. m.\nChacune des deux pentes d'une montagne. Skier sur le versant ensoleillé de la montagne."												
versatile,"adj.\nInconstant, changeant. Cet employé est trop versatile	 on ne pourra lui confier ce dossier. \nNotes.- \n1  Attention à l'orthographe de cet adjectif qui conserve la même forme au masculin et au féminin : versatile.\n2  Cet adjectif qui est plutôt péjoratif ne peut qualifier que des personnes."											
versatilité,"n. f.\nCaractère versatile."												
verse,"n. f.\nÀ verse, locution adverbiale. Abondamment, en parlant de la pluie. \nNote.- Le nom ne s'emploie que dans l'expression citée."												
versé,", ée  adj.\nExpérimenté dans la pratique d'un art, d'une science. II est versé en astronomie."												
verseau,"n. m.\nNom d'une constellation, d'un signe du zodiaque. \nNote.- Les noms d'astres s'écrivent avec une majuscule. Elle est (du signe) du Verseau, elle est née entre le 21 janvier et le 19 février. \nV. astre.\nHom. verso, envers d'une feuille de papier."												
versement,"n. m.\nAction de verser une somme d'argent. Cet achat peut se régler en plusieurs versements échelonnés sur un an."												
verser,"v. tr., intr.\n Transitif \n- Répandre, faire couler. Verser du jus dans un pichet.\n- Payer. Verser une somme en espèces.\n Intransitif Tomber sur le côté. Sous l'impact, la voiture a versé."												
verset,"n. m.\nBrève maxime extraite d'un livre sacré. Des versets de la Bible, du Coran."												
versification,"n. f.\nAction de faire des vers."												
version,"n. f.\n Traduction d'un texte d'une langue étrangère dans la langue de celui qui traduit (par opposition à thème). Une version latine.\n Variante d'un texte, d'un programme informatique, d'un film. C'est la version originale du film.\n Manière de raconter un fait. La version du témoin semble exacte."												
verso,"n. m.\n Abréviation v° (s'écrit sans point).\n Envers d'une feuille de papier. Voir la suite au verso. Les versos sont paginés en nombres pairs. Signer au verso d'un chèque.\n Recto verso, locution adverbiale. Au recto et au verso. Faire des impressions recto verso.\nNote.- Pris adverbialement, le mot est invariable. \nAnt. recto.\nHom. verseau, nom d'une constellation."												
vert,", verte  adj. et n. m.\n Adjectif de couleur variable Qui est de la couleur de l'herbe, des feuilles. Des yeux verts, la mer verte. \nNote.- Les adjectifs de couleur composés sont invariables. Des robes vert tendre, vert amande, vert olive, vert pistache. \n Adjectif Qui n'est pas mûr. Ces fruits sont trop verts.\n Nom masculin \n- Couleur intermédiaire entre le bleu et le jaune. Teindre une étoffe en vert.\n- (Fam.) Se mettre au vert. Aller à la campagne.\nHom.: \n- vair, fourrure d'écureuil	\n- ver, animal invertébré	\n- verre, substance transparente	\n- verre, récipient pour boire	\n- vers, assemblage de mots dans un poème."								
vert-de-gris,"adj. inv. et n. m. inv.\n Adjectif invariable. D'un vert grisâtre. Des toits vert-de-gris. \n Nom masculin invariable. Dépôt verdâtre qui se forme sur le cuivre exposé à l'air."												
vertébral,", ale, aux  adj.\nQui se rapporte aux vertèbres. La colonne vertébrale, des disques vertébraux. \nNote.- Attention à l'orthographe : vertébral."												
vertèbre,"n. f.\nChacun des os dont la superposition constitue la colonne vertébrale. Les vertèbres cervicales, lombaires. \nNote.- Attention à l'orthographe : vertèbre."												
vertébré,", ée  adj. et n. m.\n Adjectif. Qui a des vertèbres. Les animaux vertébrés.\n Nom masculin. Animal pourvu d'une colonne vertébrale. \nNote.- Attention à l'orthographe : vertébré. \nAnt. invertébré."												
vertement,"adv.\nAvec sévérité. Elle fut vertement réprimandée."												
vertical,", ale, aux  adj. et n. f.\n Adjectif. Perpendiculaire à l'horizon. Des stores verticaux.\n Nom féminin. Position verticale. \nAnt. horizontal."												
verticalement,"adv.\nEn suivant la verticale."												
verticalité,"n. f.\nÉtat de ce qui est vertical."												
vertige,"n. m.\nPerte d'équilibre, étourdissement. II ne peut grimper là-haut, il aurait le vertige."												
vertigineusement,"adv.\nD'une manière vertigineuse. Le prix des maisons a augmenté vertigineusement."												
vertigineux,", euse  adj.\n Qui donne le vertige.\n Très haut. Des tours vertigineuses.\n (Fig.) Très élevé. Des prix vertigineux."												
vertu,"n. f.\n (Vx) Chasteté.\n Qualité particulière. Les vertus d'un médicament.\n (Litt.) Disposition à accomplir certains devoirs, certains actes moraux. La patience est une vertu difficile à pratiquer.\n En vertu de, locution prépositive. (Dr.) Par le pouvoir de, au nom de. En vertu de la nouvelle loi, ces pratiques sont illégales.\nNote.- Attention à l'orthographe : vertu."												
vertueusement,"adv.\nD'une façon vertueuse."												
vertueux,", euse  adj.\n(Vx) Chaste, édifiant."												
verve,"n. f.\nImagination créatrice, fantaisie, esprit. Il est en verve ce soir."												
verveine,"n. f.\n Plante aromatique dont une espèce a des vertus calmantes.\n Infusion. Une tasse de verveine.\nNote.- Attention à l'orthographe : verveine."												
vesical,"{vésical} , ale, aux  adj.\nDe la vessie. Des calculs vésicaux."												
vesicule,"{vésicule} n. f.\n Organe en forme de petit sac. La vésicule biliaire.\n Cloque sur la peau.\nNote.- Attention au genre féminin de ce nom : une vésicule."												
vespasienne,"n. f.\n(Vx) Urinoir public."												
vespéral,", ale, aux  adj.\n(Litt.) Du soir. Les vents vespéraux."												
vesse-de-loup,"n. f.\nType de champignon. Des vesses-de-loup."												
vessie,"n. f.\nPartie du corps où s'accumule l'urine qui provient des reins."												
vestale,"n. f.\n (Hist.) Prêtresse chargée d'entretenir le feu sacré.\n (Litt.) Femme très chaste. \nNote.- Attention à l'orthographe : vestale."												
veste,"n. f.\nVêtement court comportant des manches, ouvert à l'avant et qui se porte sur une chemise, un tricot. Une veste de lainage, la veste d'un costume."												
vestiaire,"n. m.\n Lieu où l'on dépose certains vêtements ou objets à l'entrée d'un théâtre, d'un musée, d'un établissement. J'ai oublié mon parapluie au vestiaire du restaurant.\n (Par ext.) Vêtements laissés au vestiaire. Donnezmoi mon vestiaire, je vous prie."												
vestibule,"n. m.\nPièce située à l'entrée d'un immeuble, d'une maison. \nNote.- Attention à l'orthographe : vestibule."												
vestige,"n. m. (gén. pl.)\n Marque (d'une chose disparue). Les vestiges d'un ancien château.\n (Fig.) Ce qui subsiste (d'une chose abstraite). Les vestiges de la civilisation grecque."												
vestimentaire,"adj.\nQui est relatif aux vêtements. Une tenue vestimentaire. \nNote.- Attention à l'orthographe de cet adjectif qui conserve la même forme au masculin et au féminin : vestimentaire."												
veston,"n. m.\n Veste d'un complet masculin. Un veston et un gilet assortis.\n Complet-veston. Des complets-veston de lainage."												
vetement,"{vêtement} n. m.\nTout ce qui sert à couvrir le corps humain. Ils doivent acheter de nouveaux vêtements pour l'hiver."												
veteran,"{vétéran} n. m.\n Personne très expérimentée dans un domaine. C'est un vétéran de la chirurgie à coeur ouvert.\n Soldat qui a de longs états de service.\nNotes.- \n1  Attention à l'orthographe : vétéran.\n2  Ce nom ne comporte pas de forme féminine."												
veterinaire,"{vétérinaire} adj. et n. m. et f.\n Adjectif. Qui est relatif aux soins donnés aux animaux. La médecine vétérinaire.\n Nom masculin et féminin. Médecin vétérinaire.\nNote.- Attention à l'orthographe : vétérinaire."												
vetille,"{vétille} n. f.\nChose sans importance. Il discute pour des vétilles."												
vetir,"{vêtir} v. tr., pronom.\n Je vêts, tu vêts, il vêt, nous vêtons, vous vêtez, ils vêtent. Je vêtais. Je vêtis. Je vêtirai. Je vêtirais. Vêts, vêtons, vêtez. Que je vête. Que je vêtisse. Vêtant. Vêtu, ue.\n Transitif. (Litt.) Couvrir de vêtements. Ce magasin de vêtements pour enfants a entièrement vêtu les sextuplés.\n Pronominal. (Litt.) S'habiller. Ils aiment se vêtir de couleurs vives."												
vetiver,"{vétiver} n. m.\n Plante cultivée pour ses racines odorantes."												
veto,"n. m. inv.\n Mot latin signifiant ""je m'oppose"".\n Refus de donner son accord. Ils nous ont opposé leur veto. Un droit de veto. Des veto catégoriques.\nNotes.- \n1  Attention à l'orthographe : veto, sans accent.\n2  En typographie soignée, les mots étrangers sont composés en italique. Dans des textes déjà en italique, la notation se fait en romain. Pour les textes manuscrits, on utilisera les guillemets."												
vetu,"{vêtu} , ue  adj.\nHabillé. Ils sont vêtus de cuir, elle est vêtue de neuf. \nNote.- L'adjectif se construit avec la préposition de."												
vetuste,"{vétuste} adj.\nTrès vieux et détérioré. Des habitations vétustes."												
vetusté,"{vétusté} n. f.\n(Litt.) État de ce qui est vétuste."												
veuf,", veuve  adj. et n. m. et f.\nSe dit de la personne dont le conjoint est mort. Un veuf inconsolable."												
veule,"adj.\n(Litt.) Lâche, mou, sans énergie. \nNote.- Attention à l'orthographe de cet adjectif qui conserve la même forme au masculin et au féminin : veule."												
veulerie,"n. f.\nCaractère d'une personne veule. \nNote.- Attention à l'orthographe : veulerie."												
veuvage,"n. m.\nÉtat d'une personne veuve."												
vexant,", ante  adj.\nBlessant, ennuyeux. Des remarques vexantes."												
vexation,"n. f.\nInsulte, contrariété."												
